code,secode,name
600109,2010000094,国金证券
600118,2010000103,中国卫星
600128,2010000112,弘业股份
600132,2010000116,重庆啤酒
600137,2010000120,浪莎股份
600149,2010000128,廊坊发展
600151,2010000130,航天机电
600153,2010000132,建发股份
600160,2010000138,巨化股份
600163,2010000141,中闽能源
2150,2010001593,通润装备
2151,2010001594,北斗星通
2152,2010001595,广电运通
2153,2010001596,石基信息
2160,2010001603,常铝股份
2182,2010001625,云海金属
2184,2010001627,海得控制
2189,2010001632,利达光电
2198,2010001641,嘉应制药
2202,2010001645,金风科技
2206,2010001649,海利得
2209,2010001652,达意隆
2224,2010001667,三力士
2233,2010001676,塔牌集团
2252,2010001695,上海莱士
2259,2010001702,升达林业
600633,2010000544,浙报传媒
600634,2010000545,中技控股
600635,2010000546,大众公用
600649,2010000560,城投控股
600657,2010000568,信达地产
600663,2010000574,陆家嘴
600670,2010000581,*ST斯达
600671,2010000582,天目药业
600675,2010000586,*ST中企
600688,2010000599,上海石化
600700,2010000611,*ST数码
600705,2010000616,中航资本
600707,2010000618,彩虹股份
600709,2010000620,ST生态
600715,2010000626,文投控股
600728,2010000639,佳都科技
600742,2010000653,一汽富维
600755,2010000666,厦门国贸
600756,2010000667,浪潮软件
600764,2010000675,中电广通
600776,2010000687,东方通信
600777,2010000688,新潮能源
600780,2010000691,通宝能源
600783,2010000694,鲁信创投
600785,2010000696,新华百货
600795,2010000706,国电电力
600807,2010000718,天业股份
600810,2010000721,神马股份
600819,2010000730,耀皮玻璃
600831,2010000742,广电网络
600832,2010000743,东方明珠
600834,2010000745,申通地铁
600845,2010000756,宝信软件
600852,2010000763,*ST中川
600855,2010000766,航天长峰
600861,2010000772,北京城乡
600875,2010000786,东方电气
151,2010001006,中成股份
301,2010001013,东方市场
408,2010001023,*ST金源
411,2010001026,英特集团
502,2010001046,绿景控股
503,2010001047,海虹控股
505,2010001049,*ST珠江
511,2010001055,*ST烯碳
519,2010001062,江南红箭
520,2010001063,长航凤凰
543,2010001086,皖能电力
546,2010001089,金圆股份
584,2010001122,友利控股
590,2010001128,启迪古汉
595,2010001133,宝塔实业
599,2010001137,青岛双星
600,2010001138,建投能源
617,2010001153,*ST济柴
631,2010001166,顺发恒业
651,2010001175,格力电器
668,2010001190,荣丰控股
678,2010001199,襄阳轴承
680,2010001201,山推股份
681,2010001202,视觉中国
712,2010001228,锦龙股份
719,2010001234,大地传媒
729,2010001243,燕京啤酒
731,2010001245,四川美丰
751,2010001255,锌业股份
752,2010001256,西藏发展
761,2010001264,本钢板材
768,2010001270,中航飞机
780,2010001276,平庄能源
786,2010001280,北新建材
806,2010001298,银河生物
975,2010001421,银泰资源
976,2010001422,春晖股份
988,2010001432,华工科技
996,2010001438,中国中期
2008,2010001451,大族激光
2013,2010001456,中航机电
2050,2010001493,三花股份
2053,2010001496,云南能投
2054,2010001497,德美化工
2058,2010001501,威尔泰
2059,2010001502,云南旅游
2068,2010001511,黑猫股份
2097,2010001540,山河智能
2107,2010001550,沃华医药
2112,2010001555,三变科技
2121,2010001564,科陆电子
2133,2010001576,广宇集团
2134,2010001577,天津普林
2145,2010001588,中核钛白
2148,2010001591,北纬通信
2149,2010001592,西部材料
2159,2010001602,三特索道
2169,2010001612,智光电气
2173,2010001616,*ST创疗
2174,2010001617,游族网络
2200,2010001643,云投生态
2204,2010001647,大连重工
2205,2010001648,国统股份
2211,2010001654,宏达新材
2222,2010001665,福晶科技
2239,2010001682,奥特佳
2240,2010001683,威华股份
2248,2010001691,华东数控
2261,2010001704,拓维信息
2263,2010001706,大东南
600225,2010000197,天津松江
600226,2010000198,升华拜克
600236,2010000208,桂冠电力
600247,2010000217,ST成城
600261,2010000230,阳光照明
600291,2010000258,西水股份
600295,2010000261,鄂尔多斯
600297,2010000263,广汇汽车
600306,2010000271,*ST商城
600307,2010000272,酒钢宏兴
600316,2010000280,洪都航空
600319,2010000283,*ST亚星
600339,2010000301,*ST天利
600345,2010000304,长江通信
600346,2010000305,*ST橡塑
600355,2010000313,精伦电子
600361,2010000319,华联综超
600362,2010000320,江西铜业
600378,2010000334,天科股份
600396,2010000350,金山股份
600432,2010000374,*ST吉恩
600455,2010000385,博通股份
600467,2010000394,好当家
600476,2010000400,湘邮科技
600480,2010000404,凌云股份
600490,2010000413,鹏欣资源
600500,2010000421,中化国际
600503,2010000424,华丽家族
600510,2010000430,黑牡丹
600527,2010000445,江南高纤
600533,2010000451,栖霞建设
600539,2010000456,ST狮头
600550,2010000464,保变电气
600557,2010000470,康缘药业
600560,2010000473,金自天正
600573,2010000485,惠泉啤酒
600584,2010000495,长电科技
600173,2010000150,卧龙地产
600197,2010000172,伊力特
600215,2010000188,长春经开
600232,2010000204,金鹰股份
600233,2010000205,圆通速递
600237,2010000209,铜峰电子
600250,2010000220,南纺股份
600257,2010000226,大湖股份
600267,2010000235,海正药业
600272,2010000240,开开实业
600275,2010000242,武昌鱼
600283,2010000250,钱江水利
600287,2010000254,江苏舜天
600290,2010000257,华仪电气
600301,2010000267,*ST南化
600302,2010000268,标准股份
600308,2010000273,华泰股份
600313,2010000278,农发种业
600322,2010000286,天房发展
600326,2010000289,西藏天路
600328,2010000291,兰太实业
600343,2010000303,航天动力
600358,2010000316,国旅联合
600360,2010000318,华微电子
600371,2010000328,万向德农
600383,2010000339,金地集团
600391,2010000346,成发科技
600399,2010000353,抚顺特钢
600400,2010000354,红豆股份
600409,2010000360,三友化工
600419,2010000365,天润乳业
600420,2010000366,现代制药
600438,2010000378,通威股份
600460,2010000389,士兰微
600463,2010000392,空港股份
600472,2010000398,包头铝业
600483,2010000407,福能股份
600876,2010000787,洛阳玻璃
600885,2010000796,宏发股份
600889,2010000800,南京化纤
600967,2010000818,北方创业
600970,2010000820,中材国际
600985,2010000832,雷鸣科化
600986,2010000833,科达股份
600993,2010000839,马应龙
601002,2010000843,晋亿实业
601003,2010000844,柳钢股份
601099,2010000851,太平洋
601111,2010000852,中国国航
601186,2010000856,中国铁建
601328,2010000858,交通银行
601857,2010000869,中国石油
601872,2010000871,招商轮船
601998,2010000880,中信银行
5,2010000941,世纪星源
9,2010000945,中国宝安
17,2010000953,深中华A
27,2010000963,深圳能源
30,2010000966,富奥股份
36,2010000972,华联控股
59,2010000988,华锦股份
65,2010000993,北方国际
88,2010000999,盐田港
858,2010001333,五粮液
860,2010001335,顺鑫农业
878,2010001345,云南铜业
905,2010001366,厦门港务
910,2010001370,大亚圣象
920,2010001379,南方汇通
928,2010001386,中钢国际
939,2010001396,凯迪生态
963,2010001411,华东医药
969,2010001416,安泰科技
993,2010001436,闽东电力
2004,2010001447,华邦健康
2030,2010001473,达安基因
